X,Y,OBJECTID,Business_Category,Business_Name,Address,City,Zip
-13143903.0046785,4048582.38591629,1477,Food Establishment,Sprouts Farmers Market,39 N Rosemead Boulevard,Pasadena,91107
-13174035.4465356,4012350.32585618,1478,Food Establishment,STAR MSO INC,4015 Redondo Beach Boulevard,Lawndale,90260
-13193176.4180715,4078869.67913832,1479,Food Establishment,Starbucks Corporation,23792 Newhall Avenue,Newhall,91321
-13138734.1007856,4021033.18294846,1480,Food Establishment,Stater Bros Markets,14212 Mulberry Drive,Whittier,90604
-13121326.8469866,4026961.66822778,1481,Food Establishment,Stater Bros. Markets,19756 Colima Road,Rowland Heights,91748
-13187436.4714815,4083167.05245122,1482,Food Establishment,Stater Bros. Markets,26900 Sierra Highway,Newhall,91321
-13120452.6668199,4042818.04666684,1483,Food Establishment,SteveO's Texas BBQ,5043 N Langham Avenue,Covina,91724
-13156339.1061637,4035694.68616939,1484,Food Establishment,STS US Corporation,3655 Pomeroy Street,Los Angeles,90063
-13135593.1493574,4035708.21152266,1485,Food Establishment,SUBWAY,13129 Valley Boulevard,La Puente,91746
-13160930.9571611,4020032.35917077,1486,Food Establishment,Sun Food Market & Deli,11019 S Alameda Street,Los Angeles,90059
-13162798.3017559,4033862.15548857,1487,Food Establishment,Sun Rise Inc,712 S Ceres Avenue,Los Angeles,90021
-13140381.2560686,4022542.6942771,1488,Food Establishment,Sunrise Donuts and Bakery,9150 Painter Avenue,Whittier,90602
-13198126.4924738,4081641.44508894,1489,Food Establishment,sunrise spirits and food co,25862 Tournament Road,Valencia,91355
-13140406.9027544,4020460.89910227,1490,Food Establishment,SUNSHINE LIQUOR               ,13541   TELEGRAPH RD    ,WHITTIER               ,90605
-13140406.9027544,4020460.89910227,1491,Food Establishment,sunshine liquor llc,13541 Telegraph Road,Whittier,90605
-13143609.4744525,4023604.57440227,1492,Food Establishment,sunshine market,8801 Norwalk Boulevard,Whittier,90606
-13163249.2012831,4025234.65520869,1493,Food Establishment,Super Center Concepts Inc.,7316 Compton Avenue,Los Angeles,90001
-13153919.4887681,4031750.59181959,1494,Food Establishment,"Super Center Concepts, Inc.",4831 Whittier Boulevard,Los Angeles,90022
-13124937.6807725,4027123.68028955,1495,Food Establishment,super king meat market inc.,18414 Colima Road,Rowland Heights,91748
-13159057.0212329,4117770.02097447,1496,Food Establishment,Super Kwik INC,4358 W Avenue L ,Lancaster,93536
-13153731.7258916,4034650.45818193,1497,Food Establishment,super salud liquor inc,625 N Mednik Avenue,Los Angeles,90022
-13168666.6934501,4006305.49389749,1498,Food Establishment,SUPERIOR GROCERS  309,1141 W Carson Street,Torrance,90502
-13174985.8186626,4020427.54958166,1499,Food Establishment,SUPERIOR GROCERS  316,10819 Hawthorne Boulevard,Inglewood,90304
-13153919.4887681,4031750.59181959,1500,Food Establishment,SUPERIOR GROCERS  319,4831 Whittier Boulevard,Los Angeles,90022
-13168909.6085118,3994407.98636745,1501,Food Establishment,SUPERIOR GROCERS 21,970 W 1st Street,San Pedro,90731
,,1502,Food Establishment,SUPERIOR SUPER WAREHOUSE      ,3600   E CESAR CHAVEZ    ,EAST LOS ANGELES       ,90063
-13156500.8690084,4034220.16458425,1503,Food Establishment,SUPERIOR SUPER WAREHOUSE,3600 E Cesar E Chavez Avenue,Los Angeles,90063
-13154636.5847653,4031933.46095802,1504,Food Establishment,Suprema Wholesale Outlet,4529 Whittier Boulevard,Los Angeles,90022
-13183495.1240378,4034161.70880864,1505,Food Establishment,Suriyan LLC,10889 W Pico Boulevard,Los Angeles,90064
-13229393.8335987,4032930.33268557,1506,Food Establishment,SWEETBU CANDY COMPANY,30745 Pacific Coast Highway,Malibu,90265
-13156380.7769632,4017493.89200632,1507,Food Establishment,T & J AMERICAN JOURNEY LLC,11719 Vieta Avenue,Lynwood,90262
-13123384.3514409,4027495.39959983,1508,Food Establishment,T S EMPORIUM                  ,1457   S NOGALES ST     ,Rowland Heights,91748
-13123977.7523462,4027135.719752,1509,Food Establishment,TA Global Inc.,18750 Colima Road,Rowland Heights,91748
-13135859.0354242,4035829.95159289,1510,Food Establishment,TacoNazo,13032 Valley Boulevard,La Puente,91746
-13135907.9950248,4035943.43086342,1511,Food Establishment,Tacos El Gavilan LLC,13009 Valley Boulevard,La Puente,91746
-13153135.9535622,4017541.16076731,1512,Food Establishment,Tacos el huero,8032 Mckinley Ave  ,Paramount,90723
-13156041.2092847,4031316.30821826,1513,Food Establishment,Tacos El Mas Cabron,4226 E Olympic Boulevard,Los Angeles,90023
-13156864.1544048,4015202.49596085,1514,Food Establishment,Tacos El Pipis,14802 S Williams Avenue,Compton,90221
-13157245.9274315,4014649.00388716,1515,Food Establishment,Tacos El Pipis,15221 S Atlantic Avenue,Compton,90221
-13123384.3514409,4027495.39959983,1516,Food Establishment,TAK SHING HONG INC.,1457 S Nogales Street,Rowland Heights,91748
-13135198.0609423,4019460.26626691,1517,Food Establishment,Takhar Inc,15632 Leffingwell Road,Whittier,90604
-13151338.9473394,4031041.87001293,1518,Food Establishment,Tamales Vazquez L A,6050 Whittier Boulevard,Los Angeles,90022
-13163105.0538479,4019098.16948592,1519,Food Establishment,Tampico Mini Market Inc,11700 Compton Avenue,Los Angeles,90059
-13168183.2094011,4034281.14394649,1520,Food Establishment,Tarazonas llc,1827 S Vermont Avenue,Los Angeles,90006
-13187417.1092405,4081865.23263361,1521,Food Establishment,Target Corporation,19105 Golden Valley Road,Canyon Country,91387
-13198216.1881432,4085490.50845613,1522,Food Establishment,Target Corporation,24425 Magic Mountain Parkway,Valencia,91355
-13224125.9842232,4048703.42237937,1523,Food Establishment,Target Corporation,30740 Russell Ranch Road,Westlake Village,91362
-13123299.9860326,4028409.96502577,1524,Food Establishment,"Tawa Supermarket, Inc.",1015 S Nogales Street,Rowland Heights,91748
-13128279.7486838,4027860.22941887,1525,Food Establishment,"Tawa Supermarket, Inc.",1625 S Azusa Avenue,Hacienda Heights,91745
